programId;code;description;active;manual;excluded
CORR;MERG;Comment: Object list was added;false;false;true
CORR;PERF;Perforce Changelist;false;false;true
CORR;RELE;Comment Entry: Released;false;false;true
LIMU;ADIR;Object Directory Entry;false;true;false
LIMU;CINC;Class Include (ABAP Objects);true;false;false
LIMU;CLSD;Class Definition (ABAP Objects);false;true;false
LIMU;COMM;Object List of Request or Piece List;false;true;false
LIMU;CPRI;Private Header (ABAP Objects);true;false;false
LIMU;CPRO;Protected Header (ABAP Objects);true;false;false
LIMU;CPUB;Public Header (ABAP Objects);true;false;false
LIMU;CUAD;GUI Definition;false;true;false
LIMU;DEVP;Package: Usage;false;true;false
LIMU;DLIX;Index for Table Entities;false;true;false
LIMU;DLTS;Technical Settings for Table Entities;false;true;false
LIMU;DOCU;Documentation;false;true;true
LIMU;DOMD;Domain Definition;false;true;false
LIMU;DTED;Data Element Definition;false;true;false
LIMU;DYNP;Screen;false;true;false
LIMU;ENQD;Lock Object Definition;false;true;false
LIMU;FSEL;Field Selection;false;true;false
LIMU;FUGT;Function Group Texts;false;true;false
LIMU;FUNC;Function Module;true;false;false
LIMU;HOTO;Single Object (SAP HANA Transport for ABAP);false;true;false
LIMU;HOTP;Package Metadata (SAP HANA Transport for ABAP);false;true;false
LIMU;INDX;Table Index;false;true;false
LIMU;INTD;Interface Definition (ABAP Objects);false;true;false
LIMU;MAPP;Mapping Information (ABAP Objects);false;true;false
LIMU;MCOD;Matchcode Object Definition;false;true;false
LIMU;MESS;Single Message;false;true;true
LIMU;METH;Method (ABAP Objects);true;false;false
LIMU;MSAD;Message Class: Definition and All Short Texts;false;true;false
LIMU;PIFA;Package Interface: Assignments;false;true;false
LIMU;PIFH;Package Interface: Header Information;false;true;false
LIMU;REPO;Report Program Source Code and Texts;false;true;false
LIMU;REPS;Report Source Code;false;true;false
LIMU;REPT;Report Texts;false;true;true
LIMU;SHLD;Search Help Definition;false;true;false
LIMU;SHLX;Text Component of Search Help Definition;false;true;false
LIMU;SOTT;Concept (Online Text Repository) - Short Texts;false;true;false
LIMU;SOTU;Concept (Online Text Repository) - Long Texts;false;true;false
LIMU;TABD;Table Definition;false;true;false
LIMU;TABT;Technical Attributes of a Table;false;true;false
LIMU;TTYD;Table Type Definition;false;true;false
LIMU;TTYX;Text Component of Table Type Definition;false;true;false
LIMU;TYPD;Type Group Source Code;false;true;false
LIMU;VARI;Report Program System Variant;false;true;false
LIMU;VARX;Report Program Application Variant;false;true;false
LIMU;VIED;View Definition;false;true;false
LIMU;VIET;Technical Attributes of a View;false;true;false
LIMU;WAPD;Definition of BSP Application;false;true;false
LIMU;WAPP;Page/Controller of a BSP Application;false;true;false
LIMU;WDYC;Controller (Web Dynpro);false;true;false
LIMU;WDYD;Definition (Web Dynpro);false;true;false
LIMU;WDYV;View (Web Dynpro);false;true;false
LIMU;XIND;Extension Index Definition;false;true;false
R3TR;01DY;Screen sequence for rental units transport object;false;true;false
R3TR;0KM1;Screen variant for cost center collective processing;false;true;false
R3TR;0KW3;Screen Variant: Collective Processing for Business Processes;false;true;false
R3TR;1APP;BPC: APPLICATION;false;true;false
R3TR;24FO;HR Forms (KSA);false;true;false
R3TR;AABC;BPC APA Global Bands & KPI Category Setting;false;true;false
R3TR;AADT;BPC APA Application Global Setting;false;true;false
R3TR;AAOE;Analysis Office Excel Workbook;false;true;false
R3TR;AAOP;Analysis Office Powerpoint;false;true;false
R3TR;AAPP;BPC Model;false;true;false
R3TR;AAPS;BPC Environment Info;false;true;false
R3TR;AART;Order type (CO, PP, PM, network);false;true;false
R3TR;ABLC;Settings for ABAP Language Version for Software Component;false;true;false
R3TR;ABPC;BPC Objects;false;true;false
R3TR;ABPF;BPC BPF;false;true;false
R3TR;ABRU;BPC Business Rule;false;true;false
R3TR;ABRV;Settlement variant;false;true;false
R3TR;ACGA;BPC Environment Configuration;false;true;false
R3TR;ACGP;BPC Model Configuration;false;true;false
R3TR;ACGR;Role;false;true;false
R3TR;ACGS;BPC System Configuration;false;true;false
R3TR;ACGT;Role - User assignment;false;true;false
R3TR;ACID;Checkpoint Group;false;true;false
R3TR;ACLA;Archiving Class;false;true;false
R3TR;ACLB;BPC Library;false;true;false
R3TR;ACTR;BPC Control;false;true;false
R3TR;ADAF;BPC Data Access Profile;false;true;false
R3TR;ADEE;BPC Deletion Entity;false;true;false
R3TR;ADEI;BPC deletion item;false;true;false
R3TR;ADEL;BPC Deletion;false;true;false
R3TR;ADIM;BPC Dimension;false;true;false
R3TR;ADMC;BPC DM Data File;false;true;false
R3TR;ADMD;BPC DM File Folder;false;true;false
R3TR;ADMF;BPC DM File;false;true;false
R3TR;ADMG;BPC Data Mananger Package Group;false;true;false
R3TR;ADML;BPC DM Package Link;false;true;false
